trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,pickup_booking_rule_id
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_010000_required-reservation,01:00:00,01:00:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_010000_required-reservation,01:10:00,01:10:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_013000_required-reservation,01:30:00,01:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_013000_required-reservation,01:40:00,01:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_023000_required-reservation,02:30:00,02:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_023000_required-reservation,02:40:00,02:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_050000_required-reservation,05:00:00,05:00:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_050000_required-reservation,05:10:00,05:10:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_051500_required-reservation,05:15:00,05:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_051500_required-reservation,05:25:00,05:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_053000_required-reservation,05:30:00,05:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_053000_required-reservation,05:40:00,05:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_054500_required-reservation,05:45:00,05:45:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_054500_required-reservation,05:55:00,05:55:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_060000_required-reservation,06:00:00,06:00:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_060000_required-reservation,06:10:00,06:10:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_061500_required-reservation,06:15:00,06:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_061500_required-reservation,06:25:00,06:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_063000_regular,06:30:00,06:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_063000_regular,06:40:00,06:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_064500_regular,06:45:00,06:45:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_064500_regular,06:55:00,06:55:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_064500_required-reservation,06:45:00,06:45:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_064500_required-reservation,06:55:00,06:55:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_070000_regular,07:00:00,07:00:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_070000_regular,07:10:00,07:10:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_071500_regular,07:15:00,07:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_071500_regular,07:25:00,07:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_073000_foot-only,07:30:00,07:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_073000_foot-only,07:40:00,07:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_073000_regular,07:30:00,07:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_073000_regular,07:40:00,07:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_080000_regular,08:00:00,08:00:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_080000_regular,08:10:00,08:10:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_081500_foot-only,08:15:00,08:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_081500_foot-only,08:25:00,08:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_091500_foot-only,09:15:00,09:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_091500_foot-only,09:25:00,09:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_113000_regular,11:30:00,11:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_113000_regular,11:40:00,11:40:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_121500_foot-only,12:15:00,12:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_121500_foot-only,12:25:00,12:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_131500_foot-only,13:15:00,13:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_131500_foot-only,13:25:00,13:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_131500_regular,13:15:00,13:15:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_131500_regular,13:25:00,13:25:00,ISV,2,1,0,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_133000_regular,13:30:00,13:30:00,NSD,1,0,1,1,
202508_i-v-n-d-des-sept-douleurs_NSD_ISV_133000_regular,13:40:00,13:40:00,ISV,2,1,0,1,
