service_id,date,exception_type
service_71,20241101,1
service_71,20241103,1
service_72,20240928,2
service_72,20240929,2
service_74,20240922,1
service_74,20241005,1
service_74,20241007,1
service_74,20241017,1
service_75,20240922,1
service_75,20241019,1
service_76,20240922,1
service_76,20241010,1
service_78,20240922,1
service_78,20241023,1
service_79,20240922,1
service_79,20241003,1
service_79,20241020,1
service_79,20241022,1
service_79,20241103,1
service_81,20240922,1
service_81,20240925,1
service_81,20241011,1
service_82,20240927,2
service_82,20241004,2
service_82,20241011,2
service_82,20241021,1
service_82,20241028,1
service_82,20241104,1
service_83,20240926,2
service_83,20240927,2
service_83,20241003,2
service_83,20241004,2
service_83,20241010,2
service_83,20241011,2
service_83,20241021,1
service_83,20241028,1
service_83,20241104,1
service_85,20240926,2
service_85,20240927,2
service_85,20240930,2
service_87,20240926,2
service_87,20240930,2
service_88,20240930,2
service_89,20240923,1
service_89,20241010,1
service_89,20241024,1
service_92,20240924,1
service_92,20240929,2
service_92,20241013,2
service_94,20240924,1
service_94,20241022,1
service_95,20241001,2
service_95,20241015,2
service_95,20241021,1
service_96,20240925,1
service_96,20241022,1
service_98,20240925,1
service_98,20240926,1
service_98,20241011,1
service_98,20241012,1
service_100,20240926,1
service_100,20241025,1
service_102,20240927,1
service_102,20241015,1
service_103,20240927,1
service_103,20241013,1
service_105,20240928,1
service_105,20241028,1
service_106,20240928,1
service_106,20240930,1
service_106,20241014,1
service_106,20241017,1
service_106,20241031,1
service_107,20240928,1
service_107,20240930,1
service_107,20241017,1
service_107,20241031,1
service_108,20240928,1
service_108,20241031,1
service_108,20241102,1
service_110,20240929,1
service_110,20241016,1
service_110,20241027,1
service_110,20241030,1
service_111,20240929,1
service_111,20241027,1
service_113,20240930,1
service_113,20241101,1
service_115,20241001,1
service_115,20241003,1
service_115,20241004,1
service_115,20241031,1
service_116,20241001,1
service_116,20241101,1
service_116,20241103,1
service_117,20241001,1
service_117,20241008,1
service_117,20241017,1
service_117,20241020,1
service_117,20241031,1
service_117,20241104,1
service_118,20241001,1
service_118,20241019,1
service_118,20241021,1
service_118,20241031,1
service_119,20241001,1
service_119,20241014,1
service_119,20241101,1
service_119,20241103,1
service_120,20241001,1
service_120,20241018,1
service_120,20241028,1
service_120,20241103,1
service_124,20241002,1
service_124,20241006,1
service_124,20241102,1
service_127,20241009,2
service_127,20241011,2
service_127,20241014,2
service_128,20241004,1
service_128,20241009,2
service_128,20241019,1
service_129,20241004,1
service_129,20241008,2
service_129,20241019,1
service_129,20241022,2
service_129,20241102,1
service_131,20241005,1
service_131,20241008,1
service_131,20241021,1
service_131,20241023,1
service_132,20241006,1
service_132,20241011,2
service_132,20241012,2
service_132,20241022,1
service_133,20241013,2
service_133,20241027,2
service_133,20241101,1
service_134,20241006,1
service_134,20241016,1
service_134,20241104,1
service_135,20241006,1
service_135,20241007,1
service_135,20241104,1
service_136,20241006,1
service_136,20241007,1
service_136,20241016,2
service_136,20241022,1
service_138,20241014,2
service_138,20241015,2
service_138,20241017,2
service_139,20241014,2
service_139,20241015,2
service_141,20241014,2
service_141,20241016,2
service_142,20241015,2
service_142,20241016,2
service_148,20241013,1
service_148,20241029,1
service_153,20241022,2
service_153,20241027,2
service_153,20241031,1
service_154,20241022,2
service_154,20241025,2
service_154,20241027,2
service_154,20241031,1
service_155,20241021,2
service_155,20241022,2
service_158,20241023,2
service_159,20241022,2
service_159,20241023,2
service_162,20241024,2
service_164,20241023,2
service_164,20241027,2
